id,crime_type,address,description,reported_at,latitude,longitude
622,Kidnapping,"Charminar, Hyderabad, Telangana",Reported kidnapping incident.,2025-03-17T15:39:31.174076Z,17.3616,78.4747
623,Drug Possession,"Connaught Place, New Delhi",Reported drug possession incident.,2025-03-24T08:20:48.174092Z,28.6328,77.2197
624,Theft,"Salt Lake, Kolkata, West Bengal",Reported theft incident.,2025-03-26T20:33:32.174107Z,22.5832,88.4088
625,Vandalism,"Anna Salai, Chennai, Tamil Nadu",Reported vandalism incident.,2025-03-03T10:50:07.174123Z,13.063,80.2606
626,Fraud,"MG Road, Bengaluru, Karnataka",Reported fraud incident.,2025-03-02T08:56:01.174139Z,12.9716,77.5946
627,Fraud,"Marine Drive, Mumbai, Maharashtra",Reported fraud incident.,2025-03-03T12:02:14.174154Z,18.9436,72.8235
628,Assault,"Marine Drive, Mumbai, Maharashtra",Reported assault incident.,2025-03-27T16:58:18.174171Z,18.9436,72.8235
629,Burglary,"Charminar, Hyderabad, Telangana",Reported burglary incident.,2025-03-16T04:22:05.174187Z,17.3616,78.4747
630,Vandalism,"Sector 17, Chandigarh",Reported vandalism incident.,2025-03-19T16:50:30.174203Z,30.7353,76.7789
631,Kidnapping,"Charminar, Hyderabad, Telangana",Reported kidnapping incident.,2025-03-10T05:37:26.174219Z,17.3616,78.4747
632,Kidnapping,"Sector 17, Chandigarh",Reported kidnapping incident.,2025-03-24T07:09:00.174235Z,30.7353,76.7789
633,Kidnapping,"Charminar, Hyderabad, Telangana",Reported kidnapping incident.,2025-03-30T16:25:56.174253Z,17.3616,78.4747
634,Murder,"Anna Salai, Chennai, Tamil Nadu",Reported murder incident.,2025-02-28T21:40:24.174269Z,13.063,80.2606
635,Drug Possession,"Hazratganj, Lucknow, Uttar Pradesh",Reported drug possession incident.,2025-03-22T00:18:56.174285Z,26.8561,80.9346
636,Burglary,"Connaught Place, New Delhi",Reported burglary incident.,2025-03-09T00:27:22.174301Z,28.6328,77.2197
637,Fraud,"Connaught Place, New Delhi",Reported fraud incident.,2025-03-26T07:14:54.174324Z,28.6328,77.2197
638,Burglary,"Connaught Place, New Delhi",Reported burglary incident.,2025-03-25T04:48:20.174343Z,28.6328,77.2197
639,Assault,"Anna Salai, Chennai, Tamil Nadu",Reported assault incident.,2025-03-04T20:56:13.174359Z,13.063,80.2606
640,Assault,"MI Road, Jaipur, Rajasthan",Reported assault incident.,2025-03-11T08:42:01.174374Z,26.9124,75.7873
641,Drug Possession,"Sector 17, Chandigarh",Reported drug possession incident.,2025-03-05T14:46:14.174391Z,30.7353,76.7789
642,Kidnapping,"MI Road, Jaipur, Rajasthan",Reported kidnapping incident.,2025-03-28T08:50:47.174407Z,26.9124,75.7873
643,Theft,"Anna Salai, Chennai, Tamil Nadu",Reported theft incident.,2025-03-24T01:08:02.174429Z,13.063,80.2606
644,Drug Possession,"Sector 17, Chandigarh",Reported drug possession incident.,2025-03-02T06:30:45.174446Z,30.7353,76.7789
645,Assault,"Salt Lake, Kolkata, West Bengal",Reported assault incident.,2025-03-07T06:32:17.174462Z,22.5832,88.4088
646,Burglary,"Marine Drive, Mumbai, Maharashtra",Reported burglary incident.,2025-03-30T18:14:29.174481Z,18.9436,72.8235
647,Drug Possession,"Sector 17, Chandigarh",Reported drug possession incident.,2025-03-27T09:16:36.174497Z,30.7353,76.7789
648,Assault,"Hazratganj, Lucknow, Uttar Pradesh",Reported assault incident.,2025-03-12T09:55:23.174513Z,26.8561,80.9346
649,Kidnapping,"Anna Salai, Chennai, Tamil Nadu",Reported kidnapping incident.,2025-03-18T18:32:33.174534Z,13.063,80.2606
650,Fraud,"Sector 17, Chandigarh",Reported fraud incident.,2025-03-05T10:15:15.174552Z,30.7353,76.7789
651,Kidnapping,"MG Road, Bengaluru, Karnataka",Reported kidnapping incident.,2025-03-05T00:00:43.174568Z,12.9716,77.5946
652,Theft,"Salt Lake, Kolkata, West Bengal",Reported theft incident.,2025-03-03T12:35:31.174584Z,22.5832,88.4088
653,Theft,"Anna Salai, Chennai, Tamil Nadu",Reported theft incident.,2025-03-20T06:13:00.174601Z,13.063,80.2606
654,Assault,"Charminar, Hyderabad, Telangana",Reported assault incident.,2025-03-26T17:02:27.174617Z,17.3616,78.4747
655,Assault,"Sector 17, Chandigarh",Reported assault incident.,2025-03-28T01:49:46.174633Z,30.7353,76.7789
656,Vandalism,"Hazratganj, Lucknow, Uttar Pradesh",Reported vandalism incident.,2025-03-10T21:23:23.174649Z,26.8561,80.9346
657,Murder,"Marine Drive, Mumbai, Maharashtra",Reported murder incident.,2025-03-30T07:18:40.174665Z,18.9436,72.8235
658,Murder,"MI Road, Jaipur, Rajasthan",Reported murder incident.,2025-03-18T19:50:21.174681Z,26.9124,75.7873
659,Vandalism,"Charminar, Hyderabad, Telangana",Reported vandalism incident.,2025-03-15T05:17:30.174697Z,17.3616,78.4747
660,Kidnapping,"Charminar, Hyderabad, Telangana",Reported kidnapping incident.,2025-03-24T07:18:59.174714Z,17.3616,78.4747
661,Burglary,"Gandhi Nagar, Jammu",Reported burglary incident.,2025-03-27T19:28:57.174730Z,32.7186,74.8581
662,Vandalism,"Gandhi Nagar, Jammu",Reported vandalism incident.,2025-03-02T16:51:32.174746Z,32.7186,74.8581
663,Theft,"Hazratganj, Lucknow, Uttar Pradesh",Reported theft incident.,2025-03-06T09:43:19.174762Z,26.8561,80.9346
664,Murder,"Salt Lake, Kolkata, West Bengal",Reported murder incident.,2025-03-19T23:30:10.174778Z,22.5832,88.4088
665,Vandalism,"Connaught Place, New Delhi",Reported vandalism incident.,2025-03-22T01:10:32.174794Z,28.6328,77.2197
666,Vandalism,"Connaught Place, New Delhi",Reported vandalism incident.,2025-03-08T07:48:29.174811Z,28.6328,77.2197
667,Drug Possession,"Connaught Place, New Delhi",Reported drug possession incident.,2025-03-08T12:39:26.174827Z,28.6328,77.2197
668,Vandalism,"Connaught Place, New Delhi",Reported vandalism incident.,2025-03-22T01:43:11.174843Z,28.6328,77.2197
669,Burglary,"Charminar, Hyderabad, Telangana",Reported burglary incident.,2025-03-05T06:02:13.174860Z,17.3616,78.4747
670,Murder,"MI Road, Jaipur, Rajasthan",Reported murder incident.,2025-03-14T01:56:57.174879Z,26.9124,75.7873
671,Theft,"Salt Lake, Kolkata, West Bengal",Reported theft incident.,2025-03-10T17:19:35.174896Z,22.5832,88.4088
672,Theft,"Connaught Place, New Delhi",Reported theft incident.,2025-03-14T23:47:03.174912Z,28.6328,77.2197
673,Burglary,"Connaught Place, New Delhi",Reported burglary incident.,2025-03-23T12:58:59.174928Z,28.6328,77.2197
674,Kidnapping,"Hazratganj, Lucknow, Uttar Pradesh",Reported kidnapping incident.,2025-03-20T17:10:12.174945Z,26.8561,80.9346
675,Assault,"Connaught Place, New Delhi",Reported assault incident.,2025-03-13T05:39:22.174961Z,28.6328,77.2197
676,Drug Possession,"Sector 17, Chandigarh",Reported drug possession incident.,2025-03-02T22:04:49.174978Z,30.7353,76.7789
677,Theft,"Salt Lake, Kolkata, West Bengal",Reported theft incident.,2025-03-28T22:34:45.174995Z,22.5832,88.4088
678,Fraud,"MI Road, Jaipur, Rajasthan",Reported fraud incident.,2025-03-10T01:10:45.175011Z,26.9124,75.7873
679,Kidnapping,"Connaught Place, New Delhi",Reported kidnapping incident.,2025-03-23T15:44:46.175027Z,28.6328,77.2197
680,Vandalism,"Salt Lake, Kolkata, West Bengal",Reported vandalism incident.,2025-03-18T12:40:29.175043Z,22.5832,88.4088
681,Vandalism,"Connaught Place, New Delhi",Reported vandalism incident.,2025-03-26T17:09:07.175059Z,28.6328,77.2197
682,Kidnapping,"MI Road, Jaipur, Rajasthan",Reported kidnapping incident.,2025-03-04T18:15:25.175075Z,26.9124,75.7873
683,Fraud,"Salt Lake, Kolkata, West Bengal",Reported fraud incident.,2025-03-15T13:56:20.175090Z,22.5832,88.4088
684,Vandalism,"Marine Drive, Mumbai, Maharashtra",Reported vandalism incident.,2025-03-24T23:16:28.175106Z,18.9436,72.8235
685,Fraud,"Connaught Place, New Delhi",Reported fraud incident.,2025-03-07T17:19:30.175121Z,28.6328,77.2197
686,Murder,"Charminar, Hyderabad, Telangana",Reported murder incident.,2025-03-29T15:24:06.175137Z,17.3616,78.4747
687,Burglary,"Connaught Place, New Delhi",Reported burglary incident.,2025-03-02T15:30:40.175153Z,28.6328,77.2197
688,Vandalism,"Charminar, Hyderabad, Telangana",Reported vandalism incident.,2025-03-04T01:20:51.175170Z,17.3616,78.4747
689,Assault,"Gandhi Nagar, Jammu",Reported assault incident.,2025-03-27T10:41:58.175186Z,32.7186,74.8581
690,Burglary,"Hazratganj, Lucknow, Uttar Pradesh",Reported burglary incident.,2025-03-11T19:44:10.175202Z,26.8561,80.9346
691,Kidnapping,"MG Road, Bengaluru, Karnataka",Reported kidnapping incident.,2025-03-18T00:54:45.175217Z,12.9716,77.5946
692,Fraud,"MI Road, Jaipur, Rajasthan",Reported fraud incident.,2025-03-26T09:03:06.175233Z,26.9124,75.7873
693,Theft,"Charminar, Hyderabad, Telangana",Reported theft incident.,2025-03-28T09:19:43.175249Z,17.3616,78.4747
694,Theft,"MG Road, Bengaluru, Karnataka",Reported theft incident.,2025-03-10T19:32:39.175264Z,12.9716,77.5946
695,Drug Possession,"Connaught Place, New Delhi",Reported drug possession incident.,2025-03-04T17:19:57.175284Z,28.6328,77.2197
696,Burglary,"Marine Drive, Mumbai, Maharashtra",Reported burglary incident.,2025-03-16T10:02:17.175487Z,18.9436,72.8235
697,Murder,"Anna Salai, Chennai, Tamil Nadu",Reported murder incident.,2025-03-29T06:59:48.175515Z,13.063,80.2606
698,Theft,"MI Road, Jaipur, Rajasthan",Reported theft incident.,2025-03-10T12:46:02.175532Z,26.9124,75.7873
699,Theft,"Sector 17, Chandigarh",Reported theft incident.,2025-03-09T12:35:33.175547Z,30.7353,76.7789
700,Drug Possession,"Connaught Place, New Delhi",Reported drug possession incident.,2025-03-07T09:55:31.175565Z,28.6328,77.2197
701,Burglary,"Salt Lake, Kolkata, West Bengal",Reported burglary incident.,2025-03-12T18:42:09.175580Z,22.5832,88.4088
702,Drug Possession,"Anna Salai, Chennai, Tamil Nadu",Reported drug possession incident.,2025-03-20T09:52:54.175602Z,13.063,80.2606
703,Murder,"MG Road, Bengaluru, Karnataka",Reported murder incident.,2025-03-22T06:48:02.175619Z,12.9716,77.5946
704,Theft,"Marine Drive, Mumbai, Maharashtra",Reported theft incident.,2025-02-28T13:13:17.175635Z,18.9436,72.8235
705,Fraud,"MG Road, Bengaluru, Karnataka",Reported fraud incident.,2025-03-28T00:24:00.175651Z,12.9716,77.5946
706,Kidnapping,"Gandhi Nagar, Jammu",Reported kidnapping incident.,2025-03-06T17:38:21.175669Z,32.7186,74.8581
707,Drug Possession,"Connaught Place, New Delhi",Reported drug possession incident.,2025-03-10T10:34:47.175685Z,28.6328,77.2197
708,Theft,"Gandhi Nagar, Jammu",Reported theft incident.,2025-03-28T08:03:43.175701Z,32.7186,74.8581
709,Theft,"Gandhi Nagar, Jammu",Reported theft incident.,2025-03-21T00:49:48.175717Z,32.7186,74.8581
710,Murder,"Gandhi Nagar, Jammu",Reported murder incident.,2025-03-08T01:43:48.175733Z,32.7186,74.8581
711,Assault,"Charminar, Hyderabad, Telangana",Reported assault incident.,2025-03-01T15:52:40.175749Z,17.3616,78.4747
712,Drug Possession,"Hazratganj, Lucknow, Uttar Pradesh",Reported drug possession incident.,2025-03-23T00:18:22.175765Z,26.8561,80.9346
713,Burglary,"Sector 17, Chandigarh",Reported burglary incident.,2025-03-12T21:11:16.175781Z,30.7353,76.7789
714,Vandalism,"Marine Drive, Mumbai, Maharashtra",Reported vandalism incident.,2025-03-09T18:21:36.175799Z,18.9436,72.8235
715,Vandalism,"Hazratganj, Lucknow, Uttar Pradesh",Reported vandalism incident.,2025-03-18T20:05:35.175815Z,26.8561,80.9346
716,Drug Possession,"Hazratganj, Lucknow, Uttar Pradesh",Reported drug possession incident.,2025-03-18T21:20:54.175832Z,26.8561,80.9346
717,Assault,"Anna Salai, Chennai, Tamil Nadu",Reported assault incident.,2025-03-05T21:58:08.175848Z,13.063,80.2606
718,Drug Possession,"Gandhi Nagar, Jammu",Reported drug possession incident.,2025-03-06T21:57:21.175864Z,32.7186,74.8581
719,Kidnapping,"Sector 17, Chandigarh",Reported kidnapping incident.,2025-03-02T02:13:29.175891Z,30.7353,76.7789
720,Kidnapping,"MI Road, Jaipur, Rajasthan",Reported kidnapping incident.,2025-03-08T21:22:25.175907Z,26.9124,75.7873
721,Burglary,"MI Road, Jaipur, Rajasthan",Reported burglary incident.,2025-03-30T18:23:22.175923Z,26.9124,75.7873
722,Assault,"Anna Salai, Chennai, Tamil Nadu",Reported assault incident.,2025-03-01T21:18:16.175938Z,13.063,80.2606
723,Assault,"Gandhi Nagar, Jammu",Reported assault incident.,2025-03-06T01:21:20.175956Z,32.7186,74.8581
724,Vandalism,"Charminar, Hyderabad, Telangana",Reported vandalism incident.,2025-03-16T23:32:38.175972Z,17.3616,78.4747
725,Fraud,"Salt Lake, Kolkata, West Bengal",Reported fraud incident.,2025-03-16T01:59:26.175987Z,22.5832,88.4088
726,Fraud,"MG Road, Bengaluru, Karnataka",Reported fraud incident.,2025-03-13T16:50:47.176004Z,12.9716,77.5946
727,Vandalism,"Sector 17, Chandigarh",Reported vandalism incident.,2025-03-15T19:49:15.176019Z,30.7353,76.7789
728,Fraud,"Marine Drive, Mumbai, Maharashtra",Reported fraud incident.,2025-03-06T16:27:35.176035Z,18.9436,72.8235
729,Vandalism,"Connaught Place, New Delhi",Reported vandalism incident.,2025-03-03T18:42:19.176063Z,28.6328,77.2197
730,Fraud,"Hazratganj, Lucknow, Uttar Pradesh",Reported fraud incident.,2025-03-08T09:09:53.176079Z,26.8561,80.9346
731,Burglary,"Connaught Place, New Delhi",Reported burglary incident.,2025-03-17T04:53:44.176095Z,28.6328,77.2197
732,Burglary,"Charminar, Hyderabad, Telangana",Reported burglary incident.,2025-03-04T16:03:36.176111Z,17.3616,78.4747
733,Assault,"Hazratganj, Lucknow, Uttar Pradesh",Reported assault incident.,2025-03-03T01:48:00.176128Z,26.8561,80.9346
734,Drug Possession,"MG Road, Bengaluru, Karnataka",Reported drug possession incident.,2025-03-23T04:40:30.176148Z,12.9716,77.5946
735,Vandalism,"Marine Drive, Mumbai, Maharashtra",Reported vandalism incident.,2025-03-13T15:25:55.176164Z,18.9436,72.8235
736,Theft,"Hazratganj, Lucknow, Uttar Pradesh",Reported theft incident.,2025-03-07T18:26:18.176181Z,26.8561,80.9346
737,Vandalism,"MI Road, Jaipur, Rajasthan",Reported vandalism incident.,2025-03-02T08:08:56.176197Z,26.9124,75.7873
738,Theft,"Connaught Place, New Delhi",Reported theft incident.,2025-03-02T12:24:39.176214Z,28.6328,77.2197
739,Vandalism,"Charminar, Hyderabad, Telangana",Reported vandalism incident.,2025-03-28T00:16:39.176229Z,17.3616,78.4747
740,Kidnapping,"Hazratganj, Lucknow, Uttar Pradesh",Reported kidnapping incident.,2025-03-05T19:26:08.176245Z,26.8561,80.9346
741,Burglary,"MG Road, Bengaluru, Karnataka",Reported burglary incident.,2025-03-22T16:29:11.176261Z,12.9716,77.5946
742,Vandalism,"Hazratganj, Lucknow, Uttar Pradesh",Reported vandalism incident.,2025-03-18T03:55:32.176297Z,26.8561,80.9346
743,Theft,"Gandhi Nagar, Jammu",Reported theft incident.,2025-03-02T09:08:35.176315Z,32.7186,74.8581
744,Assault,"MG Road, Bengaluru, Karnataka",Reported assault incident.,2025-03-17T15:18:29.176331Z,12.9716,77.5946
745,Drug Possession,"Salt Lake, Kolkata, West Bengal",Reported drug possession incident.,2025-03-13T17:00:36.176347Z,22.5832,88.4088
746,Theft,"Gandhi Nagar, Jammu",Reported theft incident.,2025-03-28T20:49:43.176362Z,32.7186,74.8581
747,Vandalism,"Salt Lake, Kolkata, West Bengal",Reported vandalism incident.,2025-03-24T01:16:13.176378Z,22.5832,88.4088
748,Fraud,"Sector 17, Chandigarh",Reported fraud incident.,2025-03-15T13:20:00.176395Z,30.7353,76.7789
749,Assault,"Salt Lake, Kolkata, West Bengal",Reported assault incident.,2025-03-27T08:47:17.176412Z,22.5832,88.4088
750,Vandalism,"Connaught Place, New Delhi",Reported vandalism incident.,2025-03-21T03:41:54.176428Z,28.6328,77.2197
751,Assault,"Marine Drive, Mumbai, Maharashtra",Reported assault incident.,2025-03-21T02:25:57.176452Z,18.9436,72.8235
752,Assault,"Marine Drive, Mumbai, Maharashtra",Reported assault incident.,2025-03-15T08:00:18.176468Z,18.9436,72.8235
753,Drug Possession,"MI Road, Jaipur, Rajasthan",Reported drug possession incident.,2025-03-09T06:11:20.176485Z,26.9124,75.7873
754,Burglary,"MI Road, Jaipur, Rajasthan",Reported burglary incident.,2025-03-01T13:42:07.176501Z,26.9124,75.7873
755,Fraud,"MI Road, Jaipur, Rajasthan",Reported fraud incident.,2025-03-12T15:00:24.176519Z,26.9124,75.7873
756,Burglary,"Sector 17, Chandigarh",Reported burglary incident.,2025-03-05T16:22:44.176535Z,30.7353,76.7789
757,Burglary,"Hazratganj, Lucknow, Uttar Pradesh",Reported burglary incident.,2025-03-26T03:17:24.176558Z,26.8561,80.9346
758,Assault,"MI Road, Jaipur, Rajasthan",Reported assault incident.,2025-03-02T03:28:57.176574Z,26.9124,75.7873
759,Murder,"Sector 17, Chandigarh",Reported murder incident.,2025-03-13T00:08:42.176590Z,30.7353,76.7789
760,Assault,"Gandhi Nagar, Jammu",Reported assault incident.,2025-03-18T09:31:37.176606Z,32.7186,74.8581
761,Theft,"Marine Drive, Mumbai, Maharashtra",Reported theft incident.,2025-03-28T09:20:21.176622Z,18.9436,72.8235
762,Kidnapping,"Sector 17, Chandigarh",Reported kidnapping incident.,2025-03-20T17:32:56.176638Z,30.7353,76.7789
763,Vandalism,"Sector 17, Chandigarh",Reported vandalism incident.,2025-03-09T20:20:56.176656Z,30.7353,76.7789
764,Vandalism,"Gandhi Nagar, Jammu",Reported vandalism incident.,2025-03-05T20:05:57.176672Z,32.7186,74.8581
765,Kidnapping,"MG Road, Bengaluru, Karnataka",Reported kidnapping incident.,2025-03-11T16:05:42.176688Z,12.9716,77.5946
766,Vandalism,"Salt Lake, Kolkata, West Bengal",Reported vandalism incident.,2025-03-26T00:26:21.176707Z,22.5832,88.4088
767,Assault,"Salt Lake, Kolkata, West Bengal",Reported assault incident.,2025-03-29T18:12:16.176725Z,22.5832,88.4088
768,Kidnapping,"Salt Lake, Kolkata, West Bengal",Reported kidnapping incident.,2025-03-23T14:59:44.176741Z,22.5832,88.4088
769,Burglary,"Salt Lake, Kolkata, West Bengal",Reported burglary incident.,2025-03-19T13:39:04.176757Z,22.5832,88.4088
770,Kidnapping,"Sector 17, Chandigarh",Reported kidnapping incident.,2025-03-18T17:40:43.176773Z,30.7353,76.7789
771,Drug Possession,"Anna Salai, Chennai, Tamil Nadu",Reported drug possession incident.,2025-03-08T00:15:46.176790Z,13.063,80.2606
772,Theft,"Salt Lake, Kolkata, West Bengal",Reported theft incident.,2025-03-18T20:43:01.176806Z,22.5832,88.4088
773,Drug Possession,"Connaught Place, New Delhi",Reported drug possession incident.,2025-03-04T13:48:11.176822Z,28.6328,77.2197
774,Assault,"Marine Drive, Mumbai, Maharashtra",Reported assault incident.,2025-03-28T04:44:25.177294Z,18.9436,72.8235
775,Fraud,"Marine Drive, Mumbai, Maharashtra",Reported fraud incident.,2025-03-21T16:05:04.177325Z,18.9436,72.8235
776,Kidnapping,"Anna Salai, Chennai, Tamil Nadu",Reported kidnapping incident.,2025-03-17T08:40:57.177342Z,13.063,80.2606
777,Kidnapping,"Marine Drive, Mumbai, Maharashtra",Reported kidnapping incident.,2025-03-26T22:28:04.177356Z,18.9436,72.8235
778,Drug Possession,"Anna Salai, Chennai, Tamil Nadu",Reported drug possession incident.,2025-03-22T12:43:38.177370Z,13.063,80.2606
779,Kidnapping,"Hazratganj, Lucknow, Uttar Pradesh",Reported kidnapping incident.,2025-03-04T06:04:44.177384Z,26.8561,80.9346
780,Murder,"MG Road, Bengaluru, Karnataka",Reported murder incident.,2025-03-12T23:57:18.177426Z,12.9716,77.5946
781,Murder,"Hazratganj, Lucknow, Uttar Pradesh",Reported murder incident.,2025-03-01T10:40:18.177444Z,26.8561,80.9346
782,Fraud,"Gandhi Nagar, Jammu",Reported fraud incident.,2025-03-08T20:41:05.177458Z,32.7186,74.8581
783,Drug Possession,"Marine Drive, Mumbai, Maharashtra",Reported drug possession incident.,2025-03-19T10:48:51.177478Z,18.9436,72.8235
784,Vandalism,"MG Road, Bengaluru, Karnataka",Reported vandalism incident.,2025-03-29T04:14:34.177492Z,12.9716,77.5946
785,Theft,"Hazratganj, Lucknow, Uttar Pradesh",Reported theft incident.,2025-03-21T22:33:53.177506Z,26.8561,80.9346
786,Kidnapping,"Anna Salai, Chennai, Tamil Nadu",Reported kidnapping incident.,2025-03-30T23:13:21.177519Z,13.063,80.2606
787,Assault,"Sector 17, Chandigarh",Reported assault incident.,2025-03-25T22:45:50.177533Z,30.7353,76.7789
788,Drug Possession,"Hazratganj, Lucknow, Uttar Pradesh",Reported drug possession incident.,2025-03-26T06:10:07.177547Z,26.8561,80.9346
789,Fraud,"MI Road, Jaipur, Rajasthan",Reported fraud incident.,2025-03-21T23:47:39.177561Z,26.9124,75.7873
790,Kidnapping,"Connaught Place, New Delhi",Reported kidnapping incident.,2025-02-28T12:52:42.177578Z,28.6328,77.2197
791,Theft,"Hazratganj, Lucknow, Uttar Pradesh",Reported theft incident.,2025-03-03T15:26:04.177592Z,26.8561,80.9346
792,Vandalism,"Gandhi Nagar, Jammu",Reported vandalism incident.,2025-03-29T10:26:28.177605Z,32.7186,74.8581
793,Murder,"Connaught Place, New Delhi",Reported murder incident.,2025-03-04T18:48:17.177620Z,28.6328,77.2197
794,Murder,"Gandhi Nagar, Jammu",Reported murder incident.,2025-03-07T11:51:43.177637Z,32.7186,74.8581
795,Kidnapping,"Salt Lake, Kolkata, West Bengal",Reported kidnapping incident.,2025-03-12T17:27:38.177654Z,22.5832,88.4088
796,Theft,"Charminar, Hyderabad, Telangana",Reported theft incident.,2025-03-31T05:55:46.177669Z,17.3616,78.4747
797,Murder,"Gandhi Nagar, Jammu",Reported murder incident.,2025-03-29T01:30:56.177684Z,32.7186,74.8581
798,Vandalism,"Marine Drive, Mumbai, Maharashtra",Reported vandalism incident.,2025-03-10T03:56:16.177699Z,18.9436,72.8235
799,Theft,"MI Road, Jaipur, Rajasthan",Reported theft incident.,2025-03-09T05:33:46.177714Z,26.9124,75.7873
800,Murder,"MG Road, Bengaluru, Karnataka",Reported murder incident.,2025-03-11T08:29:45.177735Z,12.9716,77.5946
801,Fraud,"MI Road, Jaipur, Rajasthan",Reported fraud incident.,2025-03-30T13:32:59.177751Z,26.9124,75.7873
802,Kidnapping,"Gandhi Nagar, Jammu",Reported kidnapping incident.,2025-03-13T15:36:17.177789Z,32.7186,74.8581
803,Theft,"Salt Lake, Kolkata, West Bengal",Reported theft incident.,2025-03-02T05:33:48.177808Z,22.5832,88.4088
804,Theft,"MI Road, Jaipur, Rajasthan",Reported theft incident.,2025-03-13T13:44:22.177825Z,26.9124,75.7873
805,Vandalism,"Charminar, Hyderabad, Telangana",Reported vandalism incident.,2025-03-07T14:50:13.177840Z,17.3616,78.4747
806,Vandalism,"Sector 17, Chandigarh",Reported vandalism incident.,2025-03-10T12:54:48.177855Z,30.7353,76.7789
807,Burglary,"Marine Drive, Mumbai, Maharashtra",Reported burglary incident.,2025-03-03T00:08:59.177878Z,18.9436,72.8235
808,Theft,"Salt Lake, Kolkata, West Bengal",Reported theft incident.,2025-03-03T10:40:00.177895Z,22.5832,88.4088
809,Drug Possession,"MG Road, Bengaluru, Karnataka",Reported drug possession incident.,2025-03-01T10:16:32.177909Z,12.9716,77.5946
810,Assault,"MG Road, Bengaluru, Karnataka",Reported assault incident.,2025-03-04T05:58:30.177933Z,12.9716,77.5946
811,Drug Possession,"Hazratganj, Lucknow, Uttar Pradesh",Reported drug possession incident.,2025-03-12T19:36:16.177955Z,26.8561,80.9346
812,Assault,"Sector 17, Chandigarh",Reported assault incident.,2025-03-10T02:41:18.177982Z,30.7353,76.7789
813,Murder,"Connaught Place, New Delhi",Reported murder incident.,2025-03-04T22:33:32.178000Z,28.6328,77.2197
814,Drug Possession,"Hazratganj, Lucknow, Uttar Pradesh",Reported drug possession incident.,2025-03-12T14:35:32.178016Z,26.8561,80.9346
815,Kidnapping,"Sector 17, Chandigarh",Reported kidnapping incident.,2025-03-24T22:57:49.178032Z,30.7353,76.7789
816,Burglary,"MG Road, Bengaluru, Karnataka",Reported burglary incident.,2025-03-19T22:37:26.178048Z,12.9716,77.5946
817,Fraud,"Marine Drive, Mumbai, Maharashtra",Reported fraud incident.,2025-03-30T10:28:23.178075Z,18.9436,72.8235
818,Assault,"Anna Salai, Chennai, Tamil Nadu",Reported assault incident.,2025-03-30T08:14:40.178093Z,13.063,80.2606
819,Drug Possession,"MG Road, Bengaluru, Karnataka",Reported drug possession incident.,2025-03-31T06:44:31.178110Z,12.9716,77.5946
820,Burglary,"Hazratganj, Lucknow, Uttar Pradesh",Reported burglary incident.,2025-03-24T00:47:57.178125Z,26.8561,80.9346
821,Drug Possession,"Connaught Place, New Delhi",Reported drug possession incident.,2025-03-15T15:25:41.178142Z,28.6328,77.2197
822,Vandalism,"Sector 17, Chandigarh",Reported vandalism incident.,2025-03-22T14:33:50.178159Z,30.7353,76.7789
823,Vandalism,"Hazratganj, Lucknow, Uttar Pradesh",Reported vandalism incident.,2025-03-27T10:44:15.178175Z,26.8561,80.9346
824,Kidnapping,"MI Road, Jaipur, Rajasthan",Reported kidnapping incident.,2025-03-26T02:08:36.178190Z,26.9124,75.7873
825,Vandalism,"Sector 17, Chandigarh",Reported vandalism incident.,2025-03-02T13:26:41.178204Z,30.7353,76.7789
826,Kidnapping,"Hazratganj, Lucknow, Uttar Pradesh",Reported kidnapping incident.,2025-03-24T13:34:20.178229Z,26.8561,80.9346
827,Theft,"Gandhi Nagar, Jammu",Reported theft incident.,2025-03-12T02:16:34.178243Z,32.7186,74.8581
828,Kidnapping,"Connaught Place, New Delhi",Reported kidnapping incident.,2025-03-27T19:37:19.178257Z,28.6328,77.2197
829,Murder,"Salt Lake, Kolkata, West Bengal",Reported murder incident.,2025-03-04T02:03:15.178271Z,22.5832,88.4088
830,Drug Possession,"Sector 17, Chandigarh",Reported drug possession incident.,2025-03-02T13:17:02.178285Z,30.7353,76.7789
831,Assault,"Anna Salai, Chennai, Tamil Nadu",Reported assault incident.,2025-03-14T23:35:24.178306Z,13.063,80.2606
832,Assault,"Sector 17, Chandigarh",Reported assault incident.,2025-03-14T09:28:43.178324Z,30.7353,76.7789
833,Murder,"Sector 17, Chandigarh",Reported murder incident.,2025-03-03T20:52:28.178338Z,30.7353,76.7789
834,Murder,"MG Road, Bengaluru, Karnataka",Reported murder incident.,2025-03-27T10:34:38.178352Z,12.9716,77.5946
835,Assault,"Marine Drive, Mumbai, Maharashtra",Reported assault incident.,2025-03-02T16:18:48.178366Z,18.9436,72.8235
836,Theft,"Anna Salai, Chennai, Tamil Nadu",Reported theft incident.,2025-03-27T17:03:57.178379Z,13.063,80.2606
837,Assault,"Charminar, Hyderabad, Telangana",Reported assault incident.,2025-03-24T09:37:02.178397Z,17.3616,78.4747
838,Burglary,"Sector 17, Chandigarh",Reported burglary incident.,2025-03-12T09:36:34.178412Z,30.7353,76.7789
839,Kidnapping,"Hazratganj, Lucknow, Uttar Pradesh",Reported kidnapping incident.,2025-03-29T15:09:46.178433Z,26.8561,80.9346
